"","X","Year","Title","Artist","Genre","rank","index","Rec_Start_Minute","rating","time","condition","startTimeSeconds","musicValence","musicArousal","event","memoryValence","memoryVivid","participantID","session","familiarityRating","personalRating","musicChildListen","musicChildRadio","musicChildLike","musicChildMood","musicChildImportant","musicAdolListen","musicAdolRadio","musicAdolLike","musicAdolMood","musicAdolImportant","musicAdultListen","musicAdultRadio","musicAdultLike","musicAdultMood","musicAdultImportant","musicCurrentListen","musicCurrentImportant","musicTraining","childListening","adolListening","adultListening","postListening","Skipped","Cover_T_F","X.1"
"12",1,1949,"Dear Hearts & Gentle People","Bob Crosby and the Bobcats","Jazz",62,"446","0:03","0","child","U",3,6,"Relaxed","Losing a tooth/a visit from the tooth fairy",7,4,"pilot007",1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA
"13",2,1950,"Blue Shadows","Lowell Fulson","Jazz",41,"488","0:31","0","child","U",31,7,"Energized","A moment when you played dolls/toys with a friend",7,7,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"14",3,1951,"T' 99 Blues","Jimmie Nelson and the Peter Rabbit Trio","R&B/Soul",38,"529","0:13","0","child","U",13,7,"Energized","Getting a childhood pet",7,7,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"15",4,1950,"Anytime  Any Place  Anywhere","Joe Morris and Laurie Tate","R&B/Soul",42,"489","0:32","0","child","U",32,4,"Bored","Eating a favorite meal your parents prepared for you as a child",5,3,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"16",0,1964,"I Get Around","The Beach Boys","Rock",5,"1538","0:30","4","adult","F",30,7,"Energized","Career advancement or promotion in your 20's",5,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA
"17",1,1966,"Last Train to Clarksville","The Monkees","Pop",4,"1738","0:10","5","adult","F",10,6,"Tense","A sporting event or concert in your 20's",7,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,NA
"18",2,1968,"Hey Jude","The Beatles","Rock",1,"1935","0:00","5","adult","F",0,7,"Energized","A work-related trip in your 20's",6,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,NA,NA,NA
"19",3,1968,"Mrs. Robinson","Simon & Garfunkel","Folk",9,"1943","1:12","5","adult","F",72,5,"Energized","Your first formal job interview",4,4,"pilot007",2,5,5,3,3,2,4,3,6,7,5,6,6,7,4,7,7,7,2,2,1,1,5,5,2,NA,NA,NA
"20",4,1964,"I Want to Hold Your Hand","The Beatles","Rock",1,"1534","0:07","5","adult","F",7,7,"Energized","A vacation in your 20s",7,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,NA,NA,NA
"21",0,1958,"A Wonderful Time Up There/ It's Too Soon to Know","Pat Boone","Pop",28,"961","0:00","4","adol","F",0,3,"Bored","A time when you stood up for someone in junior/high school",7,7,"pilot007",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,NA,NA,NA
"22",1,1958,"All I Have to Do is Dream","The Everly Brothers","Rock",3,"936","0:12","3","adol","F",12,2,"Tense","Going to prom or homecoming dance",7,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,3,NA,NA,NA
"23",2,1960,"It's Now or Never","Elvis Presley","Rock",7,"1140","0:12","4","adol","F",12,4,"Tense","A halloween during high school",7,4,"pilot007",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA
"24",3,1959,"Mack the Knife","Bobby Darin","Pop",2,"1035","0:50","3","adol","F",50,5,"Tense","A moment with your high school girlfriend/boyfriend",7,7,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA
"25",4,1958,"Don't / I Beg of You","Elvis Presley","Rock",7,"940","0:40","4","adol","F",40,5,"Tense","A trip during high school with friends",6,5,"pilot007",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"26",0,1952,"The Little White Cloud That Cried","Johnnie Ray","Pop",22,"556","1:01","3","child","F",61,4,"Tense","Your first birthday celebration you can remember",7,5,"pilot007",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA
"27",1,1949,"Buttons and Bows","Dinah Shore","Pop",1,"385","0:05","4","child","F",5,6,"Energized","A friend's birthday party in elementary school",3,7,"pilot007",2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,NA,NA,NA
"28",2,1953,"Don't Let The Stars Get In Your Eyes","Perry Como","Pop",2,"584","0:11","4","child","F",11,7,"Energized","A memorable playdate with a childhood friend",7,6,"pilot007",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,NA,NA,NA
"29",3,1950,"Rag Mop","The Ames Brothers","Pop",3,"450","0:06","2","child","F",6,7,"Energized","A favorite bedtime story as a child",7,3,"pilot007",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA
"30",4,1950,"Dear Hearts and Gentle People","Bing Crosby","Jazz",32,"479","0:03","4","child","F",3,6,"Relaxed","An time when you watched a movie/tv show with family as a child",4,3,"pilot007",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"31",0,NA,"None","None","None",NA,"None","None","None","adult","C",NA,7,"Relaxed","A time cooking in your 20's",6,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,NA,"None","None","None",NA,"None","None","None","adult","C",NA,5,"Tense","A memorable party in your 20's",4,4,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2,NA,"None","None","None",NA,"None","None","None","adult","C",NA,2,"Tense","A time when you did community service in your 20's",7,4,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",3,NA,"None","None","None",NA,"None","None","None","adult","C",NA,6,"Energized","A big accomplishment at work in your 20's",7,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",4,NA,"None","None","None",NA,"None","None","None","adult","C",NA,2,"Bored","Your first day at a job after college/high school",6,6,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0,NA,"None","None","None",NA,"None","None","None","adol","C",NA,5,"Bored","A moment when a parent comforted you when you were a teenager",2,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,NA,"None","None","None",NA,"None","None","None","adol","C",NA,1,"Tense","A time when you drank with friends in junior/high school",2,5,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,NA,"None","None","None",NA,"None","None","None","adol","C",NA,1,"Tense","Going to a wedding as a teenager",6,3,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",3,NA,"None","None","None",NA,"None","None","None","adol","C",NA,1,"Tense","Your first date or first kiss",3,1,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",4,NA,"None","None","None",NA,"None","None","None","adol","C",NA,1,"Tense","First time you taught someone younger than you how to do something",7,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0,NA,"None","None","None",NA,"None","None","None","child","C",NA,4,"Relaxed","A time when you played make-believe",7,5,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1,NA,"None","None","None",NA,"None","None","None","child","C",NA,4,"Bored","Playing a game with a sibling in childhood",6,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2,NA,"None","None","None",NA,"None","None","None","child","C",NA,4,"Tense","A moment when a parent read to you in childhood",4,3,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",3,NA,"None","None","None",NA,"None","None","None","child","C",NA,5,"Relaxed","Playing an outdoor game during childhood",6,6,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",4,NA,"None","None","None",NA,"None","None","None","child","C",NA,5,"Bored","An event on the playground",3,7,"pilot007",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",0,1959,"Bongo Rock","Preston Epps","Pop",98,"1131","0:07","0","child","U",7,5,"Relaxed","Your first birthday celebration you can remember",2,7,"pilot008",1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA
"47",1,1960,"Money (That's What I Want)","Barrett Strong","R&B/Soul",97,"1230","0:22","0","child","U",22,7,"Energized","Getting a childhood pet",7,6,"pilot008",1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,NA,NA,NA
"48",2,1959,"In the Mood","Ernie Fields","Pop",99,"1132","0:00","0","child","U",0,6,"Energized","A favorite bedtime story as a child",7,5,"pilot008",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"49",3,1962,"Soul Twist","King Curtis","R&B/Soul",92,"1425","0:00","0","child","U",0,5,"Relaxed","An time when you watched a movie/tv show with family as a child",4,2,"pilot008",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
"50",4,1960,"Stay","Maurice Williams and the Zodiacs","Rock",98,"1231","0:31","0","child","U",31,7,"Energized","Eating a favorite meal your parents prepared for you as a child",6,6,"pilot008",1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,3,NA,NA,NA
"51",0,1976,"Young Hearts Run Free","Candi Staton","R&B/Soul",90,"2829","0:53","0","adult","U",53,5,"Relaxed","A memorable party in your 20's",7,7,"pilot008",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA
"52",1,1976,"Disco Duck","Rick Dees & His Cast of Idiots","Pop",97,"2836","0:00","0","adult","U",0,5,"Energized","A day when you helped a friend move residence",1,6,"pilot008",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"53",2,1974,"Trying To Hold On To My Woman","Lamont Dozier","R&B/Soul",87,"2626","0:00","0","adult","U",0,5,"Relaxed","A moment on a honeymoon",7,7,"pilot008",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"54",3,1977,"Cherchez La Femme","Dr. Buzzard's Original Savannah Band","Pop",91,"2930","1:26","0","adult","U",86,3,"Tense","Your wedding",3,6,"pilot008",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"55",4,1976,"Junk Food Junkie","Larry Groce","Rock",94,"2833","0:48","0","adult","U",48,6,"Energized","Proposing to/being proposed to by your partner",7,4,"pilot008",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"56",0,1970,"Yellow River","Christie","Pop",83,"2218","0:07","0","adol","U",7,4,"Bored","A trip during high school with friends",2,7,"pilot008",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"57",1,1970,"Gimme Dat Ding","The Pipkins","Pop",86,"2221","0:11","0","adol","U",11,3,"Tense","Breaking the rules of your parents as a teen",3,5,"pilot008",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"58",2,1970,"Lay a Little Lovin' on Me","Robin McNamara","Pop",87,"2222","0:15","0","adol","U",15,6,"Relaxed","Going to prom or homecoming dance",1,7,"pilot008",1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA
"59",3,1971,"Trapped By a Thing Called Love","Denise LaSalle","R&B/Soul",89,"2324","0:00","0","adol","U",0,6,"Relaxed","A moment with your high school best friend",3,6,"pilot008",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"60",4,1970,"Somebody's Been Sleeping","100 Proof (Aged in Soul)","R&B/Soul",84,"2219","0:13","0","adol","U",13,6,"Energized","A time when you drank with friends in junior/high school",5,5,"pilot008",1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA
"61",0,NA,"None","None","None",NA,"None","None","None","child","C",NA,6,"Relaxed","Birth or adoption of your younger sibling",4,4,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"62",1,NA,"None","None","None",NA,"None","None","None","child","C",NA,6,"Relaxed","Playing an outdoor game during childhood",6,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2,NA,"None","None","None",NA,"None","None","None","child","C",NA,6,"Relaxed","An event on the playground",3,4,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",3,NA,"None","None","None",NA,"None","None","None","child","C",NA,6,"Relaxed","Playing a game with a sibling in childhood",6,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",4,NA,"None","None","None",NA,"None","None","None","child","C",NA,3,"Relaxed","A memorable playdate with a childhood friend",2,7,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",0,NA,"None","None","None",NA,"None","None","None","adult","C",NA,4,"Relaxed","A sporting event or concert in your 20's",6,5,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1,NA,"None","None","None",NA,"None","None","None","adult","C",NA,6,"Relaxed","Driving cross-country during your 20's",6,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2,NA,"None","None","None",NA,"None","None","None","adult","C",NA,6,"Relaxed","The birth or adoption of your first child",7,7,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",3,NA,"None","None","None",NA,"None","None","None","adult","C",NA,7,"Relaxed","Moving into your first home after your parents house or dorm",5,5,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",4,NA,"None","None","None",NA,"None","None","None","adult","C",NA,4,"Relaxed","A time cooking in your 20's",2,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",0,NA,"None","None","None",NA,"None","None","None","adol","C",NA,4,"Relaxed","Your first date or first kiss",5,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1,NA,"None","None","None",NA,"None","None","None","adol","C",NA,3,"Relaxed","A time when you stood up for someone in junior/high school",4,4,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2,NA,"None","None","None",NA,"None","None","None","adol","C",NA,5,"Relaxed","A halloween during high school",6,6,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",3,NA,"None","None","None",NA,"None","None","None","adol","C",NA,6,"Relaxed","A specific chore you did for parents",1,5,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",4,NA,"None","None","None",NA,"None","None","None","adol","C",NA,3,"Tense","Trying cigarettes or drugs in high school",3,5,"pilot008",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0,1960,"It's Now or Never","Elvis Presley","Rock",7,"1140","0:12","5","child","F",12,6,"Relaxed","A time with a babysitter you had during childhood",6,5,"pilot008",3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,NA,NA,NA
"77",1,1960,"Save the Last Dance for Me","The Drifters","Pop",26,"1159","0:19","5","child","F",19,7,"Energized","A friend's birthday party in elementary school",6,5,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,NA,NA,NA
"78",2,1962,"Soldier Boy","The Shirelles","Pop",10,"1343","0:17","5","child","F",17,6,"Relaxed","A moment when a parent read to you in childhood",7,6,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,NA,NA,NA
"79",3,1962,"Twistin' the Night Away","Sam Cooke","R&B/Soul",23,"1356","0:30","5","child","F",30,7,"Energized","Losing a tooth/a visit from the tooth fairy",6,4,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,NA,NA,NA
"80",4,1962,"I Can't Stop Loving You","Ray Charles","R&B/Soul",2,"1335","0:00","5","child","F",0,6,"Relaxed","A time when you played make-believe",7,6,"pilot008",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA
"81",0,1977,"Sir Duke","Stevie Wonder","R&B/Soul",18,"2857","0:41","5","adult","F",41,6,"Energized","A wedding you attended in your 20's",4,6,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,NA,NA,NA
"82",1,1975,"Shining Star","Earth, Wind & Fire","R&B/Soul",7,"2646","0:47","5","adult","F",47,7,"Energized","Career advancement or promotion in your 20's",6,6,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,NA,NA,NA
"83",2,1974,"Best Thing That Ever Happened to Me","Gladys Knight & the Pips","R&B/Soul",34,"2573","0:00","5","adult","F",0,4,"Bored","A vacation in your 20s",7,7,"pilot008",3,2,1,6,6,7,7,7,7,6,7,7,7,5,3,6,6,7,1,6,4,1,2,1,1,NA,NA,NA
"84",3,1975,"Philadelphia Freedom","Elton John","Pop",3,"2642","0:45","4","adult","F",45,6,"Energized","The day when you/your partner found out you were going to have a child",7,7,"pilot008",3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,NA,NA,NA
"85",4,1977,"Dreams","Fleetwood Mac","Rock",39,"2878","1:11","5","adult","F",71,7,"Energized","Your first day at a job after college/high school",5,6,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,NA,NA,NA
"86",0,1971,"Joy to the World","Three Dog Night","Rock",1,"2236","0:13","5","adol","F",13,7,"Relaxed","First time you taught someone younger than you how to do something",5,4,"pilot008",3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,NA,NA,NA
